scan_id,flow_mm_s,lag_frames,pair_count,acf
flow05,5,25,457,0.15919803351639142
flow05,5,26,456,0.13016192690400649
flow05,5,27,455,0.17499360899782415
flow05,5,28,454,0.14716533662456388
flow05,5,29,454,0.14677869331603083
flow05,5,30,452,0.18165502471925754
flow05,5,31,451,0.13475089530412748
flow05,5,32,450,0.14240596445422352
flow05,5,33,449,0.10634890646900953
flow05,5,34,448,0.13108318241801636
flow05,5,35,447,0.092477264190440375
flow05,5,36,446,0.063647283645416219
flow05,5,37,445,0.086863267460105656
flow05,5,38,444,0.036815847229398527
flow05,5,39,443,0.083136919177318927
flow05,5,40,442,0.081616246210974283
flow05,5,41,441,0.098355325806655763
flow05,5,42,440,0.14973522503186684
flow05,5,43,439,0.132069342489671
flow05,5,44,438,0.11857229130619876
flow05,5,45,437,0.11956543338864929
flow05,5,46,436,0.15392619602951041
flow05,5,47,436,0.092297801030470625
flow05,5,48,436,0.098090452549447427
flow05,5,49,436,0.060198515399472997
flow05,5,50,436,0.12017303898045358
flow05,5,51,436,0.08853904503339223
flow05,5,52,436,0.085416529415833969
flow05,5,53,435,0.016153758236221505
flow05,5,54,434,0.079928286477903343
flow05,5,55,433,0.10191652549766858
flow05,5,56,432,0.088548374439382779
flow05,5,57,431,0.080962063676337098
flow05,5,58,430,0.073420560466629328
flow05,5,59,429,0.10043838763803854
flow05,5,60,428,0.0764660818831603
flow05,5,61,427,0.022287124063827577
flow05,5,62,426,0.072710247289205429
flow05,5,63,425,0.045068407865982645
flow05,5,64,424,0.079662576620368922
flow05,5,65,423,0.030541679698062065
flow05,5,66,422,0.011940227033081429
flow05,5,67,421,0.070908344464785222
flow05,5,68,420,0.025524643556987414
flow05,5,69,419,0.052518284737854089
flow05,5,70,418,0.0051974474711275779
flow05,5,71,417,0.019706788543164294
flow05,5,72,416,0.056751735062050335
flow05,5,73,415,0.027149196505583204
flow05,5,74,414,0.0038925025927711299
flow05,5,75,413,-0.039033040350280115
flow05,5,76,412,0.012986206946177756
flow05,5,77,411,-0.028641838455552036
flow05,5,78,410,-0.05430983501841561
flow05,5,79,409,-0.031761679962156862
flow05,5,80,408,-0.067397960356704825
flow05,5,81,407,-0.056800592469628611
flow05,5,82,406,-0.098270795961262272
flow05,5,83,405,-0.030979961173057464
flow05,5,84,404,-0.017864105738510938
flow05,5,85,403,0.0081088369905373686
flow05,5,86,402,-0.026743176770895605
