scan_id,diameter_um,flow_mm_s,side,mode,support,n_common,pair,rho0,n_pairs0,rho0_status,specificity,specificity_status,n_far_defined,peak_lag,peak_rho,zero_lag_rank,peak_rank_status,n_lags_defined,boundary_peak,matched_specificity,matched_status,n_matched_far_defined
D285_F03_V01,285,3,right,detrended_51,real_L_R_common,474,W100,0.14656550363929086,474,ok,0.14814091413960703,ok,42,-1,0.17421121628675335,2,ok,101,False,0.15795485763348327,ok,42
D285_F03_V01,285,3,right,detrended_51,real_L_R_common,474,W500,0.18212059152740559,474,ok,0.18791246342227647,ok,42,-1,0.20468911854208846,2,ok,101,False,0.18220907982204509,ok,42
D285_F03_V01,285,3,right,detrended_51,real_L_R_common,474,C100,0.17809444467229307,474,ok,0.18851813412986743,ok,42,0,0.17809444467229307,1,ok,101,False,0.18052314629458346,ok,42
D285_F05_V01,285,5,real_matched,detrended_51,real_L_R_common,492,W100,0.22799809119776163,492,ok,0.21179563708235144,ok,42,0,0.22799809119776163,1,ok,101,False,0.2148474660163584,ok,42
D285_F05_V01,285,5,real_matched,detrended_51,real_L_R_common,492,W500,0.28733370987447399,492,ok,0.27978107789421169,ok,42,0,0.28733370987447399,1,ok,101,False,0.29581847507251557,ok,42
D285_F05_V01,285,5,real_matched,detrended_51,real_L_R_common,492,C100,0.33601827724343497,492,ok,0.29680260471709202,ok,42,0,0.33601827724343497,1,ok,101,False,0.30150055183743685,ok,42
D285_F05_V01,285,5,left,detrended_51,real_L_R_common,492,W100,0.088492174338586194,492,ok,0.10266065972292973,ok,42,22,0.1039276250946316,4,ok,101,False,0.1241077048930877,ok,42
D285_F05_V01,285,5,left,detrended_51,real_L_R_common,492,W500,0.053331430982050211,492,ok,0.068618605944199648,ok,42,22,0.11336127622980148,16,ok,101,False,0.07041474708575865,ok,42
D285_F05_V01,285,5,left,detrended_51,real_L_R_common,492,C100,0.17389087616603841,492,ok,0.1881371448159973,ok,42,0,0.17389087616603841,1,ok,101,False,0.18538138916351998,ok,42
D285_F05_V01,285,5,right,detrended_51,real_L_R_common,492,W100,0.086513091016947014,492,ok,0.097654912029693106,ok,42,25,0.17446887705676567,5,ok,101,False,0.089160375552260002,ok,42
D285_F05_V01,285,5,right,detrended_51,real_L_R_common,492,W500,0.089209687333812807,492,ok,0.089144867738853981,ok,42,25,0.1644091098764939,3,ok,101,False,0.082372266993643195,ok,42
D285_F05_V01,285,5,right,detrended_51,real_L_R_common,492,C100,0.047122171604685473,492,ok,0.046966719657978453,ok,42,25,0.17170406955763801,11,ok,101,False,0.054342455337766146,ok,42
D285_F07_V01,285,7,real_matched,detrended_51,real_L_R_common,458,W100,0.22928497994187977,458,ok,0.21335519142293413,ok,42,0,0.22928497994187977,1,ok,101,False,0.2223759935918328,ok,42
D285_F07_V01,285,7,real_matched,detrended_51,real_L_R_common,458,W500,0.24010875983557273,458,ok,0.21728391618158993,ok,42,0,0.24010875983557273,1,ok,101,False,0.2215531344712543,ok,42
D285_F07_V01,285,7,real_matched,detrended_51,real_L_R_common,458,C100,0.29513468010165073,458,ok,0.28379512432967924,ok,42,1,0.30346583652080084,2,ok,101,False,0.30861012457787107,ok,42
D285_F07_V01,285,7,left,detrended_51,real_L_R_common,458,W100,0.11265060605903526,458,ok,0.11662244459644951,ok,42,26,0.11479977050327971,2,ok,101,False,0.10405503932144615,ok,42
D285_F07_V01,285,7,left,detrended_51,real_L_R_common,458,W500,0.19802051865156817,458,ok,0.208103125806791,ok,42,0,0.19802051865156817,1,ok,101,False,0.17445535225198427,ok,42
D285_F07_V01,285,7,left,detrended_51,real_L_R_common,458,C100,0.14326456320533423,458,ok,0.14225310260138316,ok,42,0,0.14326456320533423,1,ok,101,False,0.13382282347691404,ok,42
D285_F07_V01,285,7,right,detrended_51,real_L_R_common,458,W100,0.22650141818086864,458,ok,0.20358506771616913,ok,42,0,0.22650141818086864,1,ok,101,False,0.19102906062399566,ok,42
D285_F07_V01,285,7,right,detrended_51,real_L_R_common,458,W500,0.26991135464675264,458,ok,0.25221620070512779,ok,42,0,0.26991135464675264,1,ok,101,False,0.26142735901043379,ok,42
D285_F07_V01,285,7,right,detrended_51,real_L_R_common,458,C100,0.19176350085676536,458,ok,0.16673064590987249,ok,42,0,0.19176350085676536,1,ok,101,False,0.15684816044696073,ok,42
D285_F10_V01,285,10,real_matched,detrended_51,real_L_R_common,494,W100,0.25952167765251671,494,ok,0.24433929508210955,ok,42,0,0.25952167765251671,1,ok,101,False,0.25182805718183754,ok,42
D285_F10_V01,285,10,real_matched,detrended_51,real_L_R_common,494,W500,0.31982355557276509,494,ok,0.30749357110608105,ok,42,0,0.31982355557276509,1,ok,101,False,0.32043506539662792,ok,42
D285_F10_V01,285,10,real_matched,detrended_51,real_L_R_common,494,C100,0.42078610553026968,494,ok,0.41767623047758923,ok,42,0,0.42078610553026968,1,ok,101,False,0.40091248364127441,ok,42
D285_F10_V01,285,10,left,detrended_51,real_L_R_common,494,W100,0.19294736034111071,494,ok,0.18836968257912548,ok,42,0,0.19294736034111071,1,ok,101,False,0.18671285360736178,ok,42
D285_F10_V01,285,10,left,detrended_51,real_L_R_common,494,W500,0.20265383394712236,494,ok,0.22483236236893409,ok,42,0,0.20265383394712236,1,ok,101,False,0.22293253647574232,ok,42
D285_F10_V01,285,10,left,detrended_51,real_L_R_common,494,C100,0.16485494398002365,494,ok,0.18261395979856079,ok,42,0,0.16485494398002365,1,ok,101,False,0.17685015135981938,ok,42
D285_F10_V01,285,10,right,detrended_51,real_L_R_common,494,W100,0.15438953583434678,494,ok,0.16054711820855938,ok,42,0,0.15438953583434678,1,ok,101,False,0.16755270399158939,ok,42
D285_F10_V01,285,10,right,detrended_51,real_L_R_common,494,W500,0.19722301289584476,494,ok,0.19682711170940106,ok,42,0,0.19722301289584476,1,ok,101,False,0.20048144131976925,ok,42
D285_F10_V01,285,10,right,detrended_51,real_L_R_common,494,C100,0.21077630254432134,494,ok,0.21057285126280212,ok,42,0,0.21077630254432134,1,ok,101,False,0.20231078739677294,ok,42
