scan_id,diameter_um,flow_mm_s,region,side,n_defined,curve_median,curve_MAD,RCV,first_median,last_median,first_coverage,last_coverage,signed_difference,absolute_difference,relative_difference,status
D235_F07_V01,235,7,tail500,bg,444,16515714.721424859,367053.9663013164,0.032950085395479785,17180301.784623746,16464177.92109495,31,42,-716123.86352879554,716123.86352879554,-0.043360149748760825,ok
D235_F10_V01,235,10,source,left,461,15465495.305959484,842973.08661193773,0.080811630890946201,16694359.105312631,15924917.330754185,49,47,-769441.77455844544,769441.77455844544,-0.049752158552720152,ok
D235_F10_V01,235,10,source,right,461,15724489.483307661,811282.93570362031,0.076492663354891674,16932349.430930492,15708771.788296163,49,47,-1223577.6426343285,1223577.6426343285,-0.077813505101912386,ok
D235_F10_V01,235,10,source,bg,461,15575231.663914299,615462.99842158705,0.058585673789620096,16492027.358236335,15709879.92911916,49,47,-782147.42911717482,782147.42911717482,-0.050217386552862932,ok
D235_F10_V01,235,10,tail100,left,461,16531555.124287046,1067504.9627380446,0.095737082558570288,17459455.694127589,16521353.699780347,49,47,-938101.99434724264,938101.99434724264,-0.056746143196718765,ok
D235_F10_V01,235,10,tail100,right,461,16838762.207024872,1026219.8619478829,0.090355428066392893,17988929.693581007,17622054.629366949,49,47,-366875.06421405822,366875.06421405822,-0.021787531631095994,ok
D235_F10_V01,235,10,tail100,bg,461,16603532.963406248,857333.87154680863,0.076554983855347689,17965200.509964421,17187707.001827151,49,47,-777493.50813727081,777493.50813727081,-0.046826992173945516,ok
D235_F10_V01,235,10,tail500,left,461,16444495.211530806,591810.51798997261,0.053356351939382825,17535481.368146565,16177291.525135068,49,47,-1358189.8430114966,1358189.8430114966,-0.0825923706103876,ok
D235_F10_V01,235,10,tail500,right,461,16710626.374742791,551382.05579315685,0.048919712378616143,17662229.355591368,17233888.320280638,49,47,-428341.03531073034,428341.03531073034,-0.025632853353608855,ok
D235_F10_V01,235,10,tail500,bg,461,16576639.270567164,426529.84854168631,0.038148453563245553,17512733.718906727,16740901.590669557,49,47,-771832.12823716924,771832.12823716924,-0.046561435984651262,ok
D285_F01_V01,285,1,source,left,453,15189499.27585876,804110.41319221072,0.078486728031485445,16758406.327180618,14576467.975939268,26,51,-2181938.3512413502,2181938.3512413502,-0.14364781298019391,ok
D285_F01_V01,285,1,source,right,453,15381919.335459359,863086.52121108957,0.08318936333242366,17357292.941465102,15357534.225935327,26,51,-1999758.7155297752,1999758.7155297752,-0.13000709936891991,ok
D285_F01_V01,285,1,source,bg,453,15263219.398172116,637591.41341774538,0.061932742029925554,16993478.426488467,15056595.294142788,26,51,-1936883.1323456783,1936883.1323456783,-0.12689872836248653,ok
D285_F01_V01,285,1,tail100,left,453,15591745.149057591,1084068.470850464,0.10308274664045826,18107482.647428744,14579136.04144091,26,51,-3528346.6059878338,3528346.6059878338,-0.22629581052388462,ok
D285_F01_V01,285,1,tail100,right,453,15682710.669921795,1091388.2191513851,0.10317681730985556,17748172.026691277,14637354.439646715,26,51,-3110817.5870445613,3110817.5870445613,-0.19835968746212124,ok
