scan_id,diameter_um,flow_mm_s,extension,mode,support,source_bin,u_lo,u_hi,u_mid,tail_bin,tail_lo_um,tail_hi_um,tail_mid_um,in_C16,rho,n_pairs,status
D285_F07_V01,285,7,A,detrended_51,real_all,3,0.33333333333333331,0.5,0.41666666666666669,2,25,50,37.5,True,0.15389167291441586,458,ok
D285_F07_V01,285,7,A,detrended_51,real_all,3,0.33333333333333331,0.5,0.41666666666666669,3,50,75,62.5,True,0.088634097420451849,458,ok
D285_F07_V01,285,7,A,detrended_51,real_all,3,0.33333333333333331,0.5,0.41666666666666669,4,75,100,87.5,True,0.13910819207196276,458,ok
D285_F07_V01,285,7,A,detrended_51,real_all,4,0.5,0.66666666666666663,0.58333333333333337,2,25,50,37.5,True,0.13091883290312498,458,ok
D285_F07_V01,285,7,A,detrended_51,real_all,4,0.5,0.66666666666666663,0.58333333333333337,3,50,75,62.5,True,0.089175803347035371,458,ok
D285_F07_V01,285,7,A,detrended_51,real_all,4,0.5,0.66666666666666663,0.58333333333333337,4,75,100,87.5,True,0.18497678524565311,458,ok
D285_F07_V01,285,7,A,detrended_51,real_all,5,0.66666666666666663,0.83333333333333337,0.75,2,25,50,37.5,True,0.11658813594516604,458,ok
D285_F07_V01,285,7,A,detrended_51,real_all,5,0.66666666666666663,0.83333333333333337,0.75,3,50,75,62.5,True,0.063433424469865302,458,ok
D285_F07_V01,285,7,A,detrended_51,real_all,5,0.66666666666666663,0.83333333333333337,0.75,4,75,100,87.5,True,0.068140989856350878,458,ok
D285_F07_V01,285,7,A,detrended_51,real_all,6,0.83333333333333337,1,0.91666666666666663,2,25,50,37.5,True,0.10273319321250067,458,ok
D285_F07_V01,285,7,A,detrended_51,real_all,6,0.83333333333333337,1,0.91666666666666663,3,50,75,62.5,True,0.00083631645662637889,458,ok
D285_F07_V01,285,7,A,detrended_51,real_all,6,0.83333333333333337,1,0.91666666666666663,4,75,100,87.5,True,0.011309278344722215,458,ok
D285_F10_V01,285,10,A,detrended_51,real_all,3,0.33333333333333331,0.5,0.41666666666666669,2,25,50,37.5,True,0.27818120134372315,494,ok
D285_F10_V01,285,10,A,detrended_51,real_all,3,0.33333333333333331,0.5,0.41666666666666669,3,50,75,62.5,True,0.11806718171037599,494,ok
D285_F10_V01,285,10,A,detrended_51,real_all,3,0.33333333333333331,0.5,0.41666666666666669,4,75,100,87.5,True,0.17659051096479481,494,ok
D285_F10_V01,285,10,A,detrended_51,real_all,4,0.5,0.66666666666666663,0.58333333333333337,2,25,50,37.5,True,0.1930360247277475,494,ok
D285_F10_V01,285,10,A,detrended_51,real_all,4,0.5,0.66666666666666663,0.58333333333333337,3,50,75,62.5,True,0.16753901242913666,494,ok
D285_F10_V01,285,10,A,detrended_51,real_all,4,0.5,0.66666666666666663,0.58333333333333337,4,75,100,87.5,True,0.15762141790630499,494,ok
D285_F10_V01,285,10,A,detrended_51,real_all,5,0.66666666666666663,0.83333333333333337,0.75,2,25,50,37.5,True,0.24013618684264673,494,ok
D285_F10_V01,285,10,A,detrended_51,real_all,5,0.66666666666666663,0.83333333333333337,0.75,3,50,75,62.5,True,0.1386550500073564,494,ok
D285_F10_V01,285,10,A,detrended_51,real_all,5,0.66666666666666663,0.83333333333333337,0.75,4,75,100,87.5,True,0.17564958565654468,494,ok
D285_F10_V01,285,10,A,detrended_51,real_all,6,0.83333333333333337,1,0.91666666666666663,2,25,50,37.5,True,0.065525495266424802,494,ok
D285_F10_V01,285,10,A,detrended_51,real_all,6,0.83333333333333337,1,0.91666666666666663,3,50,75,62.5,True,0.095576198422780076,494,ok
D285_F10_V01,285,10,A,detrended_51,real_all,6,0.83333333333333337,1,0.91666666666666663,4,75,100,87.5,True,0.13670498077540091,494,ok
