scan_id,diameter_um,flow_mm_s,side,mode,support,n_common,source_bin,u_lo,u_hi,u_mid,tail_bin,tail_lo_um,tail_hi_um,tail_mid_um,in_C16,rho,n_pairs,status
D128_F01_V01,128,1,left,detrended_51,real_L_R_common,486,2,0.16666666666666666,0.33333333333333331,0.25,3,50,75,62.5,False,0.014591536066620843,486,ok
D128_F01_V01,128,1,left,detrended_51,real_L_R_common,486,2,0.16666666666666666,0.33333333333333331,0.25,4,75,100,87.5,False,0.049488852338509776,486,ok
D128_F01_V01,128,1,left,detrended_51,real_L_R_common,486,2,0.16666666666666666,0.33333333333333331,0.25,5,100,125,112.5,False,-0.092600655614164071,486,ok
D128_F01_V01,128,1,left,detrended_51,real_L_R_common,486,2,0.16666666666666666,0.33333333333333331,0.25,6,125,150,137.5,False,0.014170704804521591,486,ok
D128_F01_V01,128,1,left,detrended_51,real_L_R_common,486,2,0.16666666666666666,0.33333333333333331,0.25,7,150,175,162.5,False,0.049336204070737834,486,ok
D128_F01_V01,128,1,left,detrended_51,real_L_R_common,486,2,0.16666666666666666,0.33333333333333331,0.25,8,175,200,187.5,False,0.026887458947625068,486,ok
D128_F01_V01,128,1,left,detrended_51,real_L_R_common,486,2,0.16666666666666666,0.33333333333333331,0.25,9,200,225,212.5,False,0.10699570129375204,486,ok
D128_F01_V01,128,1,left,detrended_51,real_L_R_common,486,2,0.16666666666666666,0.33333333333333331,0.25,10,225,250,237.5,False,-0.053957350175003596,486,ok
D128_F01_V01,128,1,left,detrended_51,real_L_R_common,486,2,0.16666666666666666,0.33333333333333331,0.25,11,250,275,262.5,False,-0.056867250562486829,486,ok
D128_F01_V01,128,1,left,detrended_51,real_L_R_common,486,2,0.16666666666666666,0.33333333333333331,0.25,12,275,300,287.5,False,0.00077567617506371753,486,ok
D128_F01_V01,128,1,left,detrended_51,real_L_R_common,486,2,0.16666666666666666,0.33333333333333331,0.25,13,300,325,312.5,False,0.090654800842790456,486,ok
D128_F01_V01,128,1,left,detrended_51,real_L_R_common,486,2,0.16666666666666666,0.33333333333333331,0.25,14,325,350,337.5,False,-0.0065365353148647701,486,ok
D128_F01_V01,128,1,left,detrended_51,real_L_R_common,486,2,0.16666666666666666,0.33333333333333331,0.25,15,350,375,362.5,False,-0.028591070609065503,486,ok
D128_F01_V01,128,1,left,detrended_51,real_L_R_common,486,2,0.16666666666666666,0.33333333333333331,0.25,16,375,400,387.5,False,0.057677302895961464,486,ok
D128_F01_V01,128,1,left,detrended_51,real_L_R_common,486,2,0.16666666666666666,0.33333333333333331,0.25,17,400,425,412.5,False,0.0569141193789637,486,ok
D128_F01_V01,128,1,left,detrended_51,real_L_R_common,486,2,0.16666666666666666,0.33333333333333331,0.25,18,425,450,437.5,False,0.02859228027426873,486,ok
D128_F01_V01,128,1,left,detrended_51,real_L_R_common,486,2,0.16666666666666666,0.33333333333333331,0.25,19,450,475,462.5,False,-0.031493358569782227,486,ok
D128_F01_V01,128,1,left,detrended_51,real_L_R_common,486,2,0.16666666666666666,0.33333333333333331,0.25,20,475,500,487.5,False,0.022391063625176566,486,ok
D128_F01_V01,128,1,left,detrended_51,real_L_R_common,486,3,0.33333333333333331,0.5,0.41666666666666669,1,0,25,12.5,True,0.045099880931101517,486,ok
D128_F01_V01,128,1,left,detrended_51,real_L_R_common,486,3,0.33333333333333331,0.5,0.41666666666666669,2,25,50,37.5,True,0.0049723026294470896,486,ok
