scan_id,diameter_um,flow_mm_s,tail_bin,tail_lo_um,tail_hi_um,tail_mid_um,mode,rho,n_pairs,status,support
D128_F10_V01,128,10,18,425,450,437.5,raw,0.10403083734243834,484,ok,real_L_R_common
D128_F10_V01,128,10,18,425,450,437.5,detrended_51,0.017217202172894908,484,ok,real_L_R_common
D128_F10_V01,128,10,19,450,475,462.5,raw,0.090820715082155126,484,ok,real_L_R_common
D128_F10_V01,128,10,19,450,475,462.5,detrended_51,0.012260133235035142,484,ok,real_L_R_common
D128_F10_V01,128,10,20,475,500,487.5,raw,0.13837389536831288,484,ok,real_L_R_common
D128_F10_V01,128,10,20,475,500,487.5,detrended_51,0.10064150907657887,484,ok,real_L_R_common
D235_F01_V01,235,1,1,0,25,12.5,raw,0.027109220020200425,448,ok,real_L_R_common
D235_F01_V01,235,1,1,0,25,12.5,detrended_51,0.020902911891356967,448,ok,real_L_R_common
D235_F01_V01,235,1,2,25,50,37.5,raw,0.050934002694813442,448,ok,real_L_R_common
D235_F01_V01,235,1,2,25,50,37.5,detrended_51,-0.0059015862448218584,448,ok,real_L_R_common
D235_F01_V01,235,1,3,50,75,62.5,raw,0.11349953129037149,448,ok,real_L_R_common
D235_F01_V01,235,1,3,50,75,62.5,detrended_51,0.082754718139757669,448,ok,real_L_R_common
D235_F01_V01,235,1,4,75,100,87.5,raw,0.11065337481609286,448,ok,real_L_R_common
D235_F01_V01,235,1,4,75,100,87.5,detrended_51,0.090498769603287371,448,ok,real_L_R_common
D235_F01_V01,235,1,5,100,125,112.5,raw,-0.00014493697510393824,448,ok,real_L_R_common
D235_F01_V01,235,1,5,100,125,112.5,detrended_51,-0.03725368172022385,448,ok,real_L_R_common
D235_F01_V01,235,1,6,125,150,137.5,raw,0.01200401125757249,448,ok,real_L_R_common
D235_F01_V01,235,1,6,125,150,137.5,detrended_51,-0.028405063615496631,448,ok,real_L_R_common
D235_F01_V01,235,1,7,150,175,162.5,raw,0.069942099947256822,448,ok,real_L_R_common
D235_F01_V01,235,1,7,150,175,162.5,detrended_51,0.046329713107151275,448,ok,real_L_R_common
D235_F01_V01,235,1,8,175,200,187.5,raw,-0.041930026670538773,448,ok,real_L_R_common
D235_F01_V01,235,1,8,175,200,187.5,detrended_51,-0.066937839764724782,448,ok,real_L_R_common
D235_F01_V01,235,1,9,200,225,212.5,raw,0.082568966511284259,448,ok,real_L_R_common
D235_F01_V01,235,1,9,200,225,212.5,detrended_51,0.051720097904564569,448,ok,real_L_R_common
D235_F01_V01,235,1,10,225,250,237.5,raw,0.030360692878816674,448,ok,real_L_R_common
D235_F01_V01,235,1,10,225,250,237.5,detrended_51,0.013597097300056652,448,ok,real_L_R_common
D235_F01_V01,235,1,11,250,275,262.5,raw,0.033509001573753971,448,ok,real_L_R_common
D235_F01_V01,235,1,11,250,275,262.5,detrended_51,0.036442944121337084,448,ok,real_L_R_common
D235_F01_V01,235,1,12,275,300,287.5,raw,0.025282560371721968,448,ok,real_L_R_common
D235_F01_V01,235,1,12,275,300,287.5,detrended_51,0.008537693733689922,448,ok,real_L_R_common
D235_F01_V01,235,1,13,300,325,312.5,raw,0.086993681495258449,448,ok,real_L_R_common
D235_F01_V01,235,1,13,300,325,312.5,detrended_51,0.04131906442080744,448,ok,real_L_R_common
D235_F01_V01,235,1,14,325,350,337.5,raw,0.023118782123692363,448,ok,real_L_R_common
D235_F01_V01,235,1,14,325,350,337.5,detrended_51,0.014702512497502087,448,ok,real_L_R_common
D235_F01_V01,235,1,15,350,375,362.5,raw,0.014418025995767733,448,ok,real_L_R_common
D235_F01_V01,235,1,15,350,375,362.5,detrended_51,0.0028256790262855143,448,ok,real_L_R_common
D235_F01_V01,235,1,16,375,400,387.5,raw,0.092685594065431434,448,ok,real_L_R_common
D235_F01_V01,235,1,16,375,400,387.5,detrended_51,0.068321674952567621,448,ok,real_L_R_common
D235_F01_V01,235,1,17,400,425,412.5,raw,0.050522680634711846,448,ok,real_L_R_common
D235_F01_V01,235,1,17,400,425,412.5,detrended_51,0.0076713894448973722,448,ok,real_L_R_common
D235_F01_V01,235,1,18,425,450,437.5,raw,0.00384696897547976,448,ok,real_L_R_common
D235_F01_V01,235,1,18,425,450,437.5,detrended_51,-0.031372090546493203,448,ok,real_L_R_common
D235_F01_V01,235,1,19,450,475,462.5,raw,-0.0053429160785553069,448,ok,real_L_R_common
D235_F01_V01,235,1,19,450,475,462.5,detrended_51,-0.019146253347501408,448,ok,real_L_R_common
D235_F01_V01,235,1,20,475,500,487.5,raw,0.061747689015966022,448,ok,real_L_R_common
D235_F01_V01,235,1,20,475,500,487.5,detrended_51,0.059764662735668085,448,ok,real_L_R_common
D235_F03_V01,235,3,1,0,25,12.5,raw,0.026580987471893438,448,ok,real_L_R_common
D235_F03_V01,235,3,1,0,25,12.5,detrended_51,0.025568865040541035,448,ok,real_L_R_common
D235_F03_V01,235,3,2,25,50,37.5,raw,-0.00047151227720277511,448,ok,real_L_R_common
D235_F03_V01,235,3,2,25,50,37.5,detrended_51,0.011789855632673003,448,ok,real_L_R_common
D235_F03_V01,235,3,3,50,75,62.5,raw,-0.028181967171107842,448,ok,real_L_R_common
D235_F03_V01,235,3,3,50,75,62.5,detrended_51,-0.01257489669059645,448,ok,real_L_R_common
D235_F03_V01,235,3,4,75,100,87.5,raw,0.031226177486136233,448,ok,real_L_R_common
D235_F03_V01,235,3,4,75,100,87.5,detrended_51,0.00093765653397387763,448,ok,real_L_R_common
D235_F03_V01,235,3,5,100,125,112.5,raw,0.0513961728097167,448,ok,real_L_R_common
D235_F03_V01,235,3,5,100,125,112.5,detrended_51,-0.044906836741387561,448,ok,real_L_R_common
D235_F03_V01,235,3,6,125,150,137.5,raw,0.06648937022081669,448,ok,real_L_R_common
D235_F03_V01,235,3,6,125,150,137.5,detrended_51,-0.031849410227320164,448,ok,real_L_R_common
D235_F03_V01,235,3,7,150,175,162.5,raw,-0.059942516340776457,448,ok,real_L_R_common
D235_F03_V01,235,3,7,150,175,162.5,detrended_51,-0.08823876406786868,448,ok,real_L_R_common
D235_F03_V01,235,3,8,175,200,187.5,raw,0.028987928858633331,448,ok,real_L_R_common
D235_F03_V01,235,3,8,175,200,187.5,detrended_51,-0.0024391082907840918,448,ok,real_L_R_common
D235_F03_V01,235,3,9,200,225,212.5,raw,0.0034038835635598016,448,ok,real_L_R_common
D235_F03_V01,235,3,9,200,225,212.5,detrended_51,-0.009339755956626514,448,ok,real_L_R_common
D235_F03_V01,235,3,10,225,250,237.5,raw,-0.022950356283378211,448,ok,real_L_R_common
D235_F03_V01,235,3,10,225,250,237.5,detrended_51,-0.056350917390303637,448,ok,real_L_R_common
D235_F03_V01,235,3,11,250,275,262.5,raw,0.003730325406197217,448,ok,real_L_R_common
D235_F03_V01,235,3,11,250,275,262.5,detrended_51,-0.028438914588766809,448,ok,real_L_R_common
D235_F03_V01,235,3,12,275,300,287.5,raw,0.10839310537745539,448,ok,real_L_R_common
D235_F03_V01,235,3,12,275,300,287.5,detrended_51,0.058900791180212783,448,ok,real_L_R_common
D235_F03_V01,235,3,13,300,325,312.5,raw,-0.034263714828093539,448,ok,real_L_R_common
D235_F03_V01,235,3,13,300,325,312.5,detrended_51,-0.05809910200943183,448,ok,real_L_R_common
D235_F03_V01,235,3,14,325,350,337.5,raw,-0.022475774438562739,448,ok,real_L_R_common
D235_F03_V01,235,3,14,325,350,337.5,detrended_51,-0.024278856315715056,448,ok,real_L_R_common
D235_F03_V01,235,3,15,350,375,362.5,raw,0.014796116649975337,448,ok,real_L_R_common
D235_F03_V01,235,3,15,350,375,362.5,detrended_51,0.00086141466856588507,448,ok,real_L_R_common
D235_F03_V01,235,3,16,375,400,387.5,raw,0.062161947184218899,448,ok,real_L_R_common
D235_F03_V01,235,3,16,375,400,387.5,detrended_51,0.056821365895382621,448,ok,real_L_R_common
