scan_id,diameter_um,flow_mm_s,mode,pair,metric,baseline_51,value,change
D235_F10_V01,235,10,detrended_101,W100,rho0,0.37388206639269184,0.41901353807162683,0.045131471678934998
D235_F10_V01,235,10,detrended_101,W100,specificity,0.2797797409825809,0.49356982784334069,0.21379008686075979
D235_F10_V01,235,10,detrended_101,W500,rho0,0.40743290116263842,0.455067961669256,0.047635060506617588
D235_F10_V01,235,10,detrended_101,W500,specificity,0.29395113932210964,0.51921634415073881,0.22526520482862916
D235_F10_V01,235,10,detrended_101,C100,rho0,0.48562640145051222,0.55280328429572401,0.067176882845211783
D235_F10_V01,235,10,detrended_101,C100,specificity,0.37021180826864974,0.66893663840272466,0.29872483013407491
D285_F01_V01,285,1,detrended_31,C16,rho_median,0.13749972230141777,0.10058647863149542,-0.036913243669922352
D285_F01_V01,285,1,detrended_31,W100,rho0,0.31717149804628997,0.230079618992902,-0.087091879053387972
D285_F01_V01,285,1,detrended_31,W100,specificity,0.2170531979718619,0.19534477068027092,-0.021708427291590976
D285_F01_V01,285,1,detrended_31,W500,rho0,0.3585297848730235,0.28472436297617038,-0.073805421896853129
D285_F01_V01,285,1,detrended_31,W500,specificity,0.27847579184679661,0.24205870202627111,-0.036417089820525494
D285_F01_V01,285,1,detrended_31,C100,rho0,0.42012934861809098,0.33326207253896767,-0.086867276079123312
D285_F01_V01,285,1,detrended_31,C100,specificity,0.29600837140663422,0.2923629466458505,-0.003645424760783722
D285_F01_V01,285,1,detrended_101,C16,rho_median,0.13749972230141777,0.13040642300937375,-0.0070932992920440252
D285_F01_V01,285,1,detrended_101,W100,rho0,0.31717149804628997,0.3312536471638563,0.014082149117566334
D285_F01_V01,285,1,detrended_101,W100,specificity,0.2170531979718619,0.36836717828871413,0.15131398031685223
D285_F01_V01,285,1,detrended_101,W500,rho0,0.3585297848730235,0.3861640216839643,0.027634236810940793
D285_F01_V01,285,1,detrended_101,W500,specificity,0.27847579184679661,0.45814993137107285,0.17967413952427624
D285_F01_V01,285,1,detrended_101,C100,rho0,0.42012934861809098,0.40947678798244624,-0.010652560635644737
D285_F01_V01,285,1,detrended_101,C100,specificity,0.29600837140663422,0.40735233971208729,0.11134396830545307
