diameter_um,tail_bin,tail_lo_um,tail_hi_um,tail_mid_um,metric,input_table,value_column,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero,flow01,flow03,flow05,flow07,flow10
128,20,475,500,487.5,RI,raw_depth_profiles.csv,median,5,0,0.12751335995519442,0.12402494130425236,0.16976795475619746,5,0,0,0.13178441990359113,0.12751335995519442,0.12402494130425236,0.16976795475619746,0.12466866860227396
128,20,475,500,487.5,tail_mean,raw_depth_profiles.csv,median,5,0,24171230.841218963,24044536.834573455,24652155.598575022,5,0,0,24221680.054948177,24044536.834573455,24171230.841218963,24652155.598575022,24085502.838967185
235,1,0,25,12.5,RI,raw_depth_profiles.csv,median,5,0,0.28629356787015414,0.28527480034639119,0.29587953875428619,5,0,0,0.29587953875428619,0.28762990998074267,0.28542324742643793,0.28629356787015414,0.28527480034639119
235,1,0,25,12.5,tail_mean,raw_depth_profiles.csv,median,5,0,61102313.496193275,60308674.886437699,62730569.473633409,5,0,0,60987107.837862656,61102313.496193275,60308674.886437699,61854530.991460852,62730569.473633409
235,2,25,50,37.5,RI,raw_depth_profiles.csv,median,5,0,0.2431587826618912,0.24124851538305409,0.24931381791341917,5,0,0,0.24931381791341917,0.24871217607060864,0.24124851538305409,0.24192560217567755,0.2431587826618912
235,2,25,50,37.5,tail_mean,raw_depth_profiles.csv,median,5,0,52221691.753696494,51480483.075937822,52969019.426358178,5,0,0,51480483.075937822,52221691.753696494,51561381.311746106,52258546.911967225,52969019.426358178
235,3,50,75,62.5,RI,raw_depth_profiles.csv,median,5,0,0.2098538047067891,0.20650793783834168,0.21797702213004538,5,0,0,0.21797702213004538,0.21234779881278038,0.20713124425146234,0.2098538047067891,0.20650793783834168
235,3,50,75,62.5,tail_mean,raw_depth_profiles.csv,median,5,0,44591807.082957923,43578477.542602517,45173102.015597597,5,0,0,44450948.078396082,45173102.015597597,43578477.542602517,44591807.082957923,44803489.518284723
235,4,75,100,87.5,RI,raw_depth_profiles.csv,median,5,0,0.18580946270387128,0.17889139897268372,0.19005902783158893,5,0,0,0.19005902783158893,0.18844299456826907,0.18207158362735359,0.18580946270387128,0.17889139897268372
235,4,75,100,87.5,tail_mean,raw_depth_profiles.csv,median,5,0,39247012.180391237,38813113.727100365,40076525.662504539,5,0,0,39247012.180391237,40076525.662504539,38813113.727100365,39252230.782631442,39059412.536681376
235,5,100,125,112.5,RI,raw_depth_profiles.csv,median,5,0,0.16525588478597936,0.16048480570191154,0.16923769001876898,5,0,0,0.16923769001876898,0.16736880751854288,0.16333888992717668,0.16525588478597936,0.16048480570191154
235,5,100,125,112.5,tail_mean,raw_depth_profiles.csv,median,5,0,35167086.566579461,34775756.40658699,35265565.043224119,5,0,0,35167086.566579461,35255358.990785137,34863195.099669494,34775756.40658699,35265565.043224119
235,6,125,150,137.5,RI,raw_depth_profiles.csv,median,5,0,0.15175219800901851,0.14635392728485491,0.15700285757983817,5,0,0,0.15700285757983817,0.15315385460219896,0.15162127878331183,0.15175219800901851,0.14635392728485491
235,6,125,150,137.5,tail_mean,raw_depth_profiles.csv,median,5,0,32286618.839950342,32112209.933672234,32732651.291366573,5,0,0,32138755.504726879,32409768.474350218,32112209.933672234,32732651.291366573,32286618.839950342
235,7,150,175,162.5,RI,raw_depth_profiles.csv,median,5,0,0.13868377561275064,0.13565812566812341,0.14490505053474489,5,0,0,0.14483354418030692,0.14490505053474489,0.13750620975892192,0.13868377561275064,0.13565812566812341
235,7,150,175,162.5,tail_mean,raw_depth_profiles.csv,median,5,0,29931771.412599165,29465640.704809856,30993039.229877442,5,0,0,29977238.819590919,30993039.229877442,29931771.412599165,29465640.704809856,29862810.691733934
235,8,175,200,187.5,RI,raw_depth_profiles.csv,median,5,0,0.131022110134628,0.12807378980565132,0.13646828000606928,5,0,0,0.13646828000606928,0.13172178727584294,0.131022110134628,0.13008807577420251,0.12807378980565132
235,8,175,200,187.5,tail_mean,raw_depth_profiles.csv,median,5,0,28307966.406144992,27930456.952659167,28688642.158165537,5,0,0,28385065.291815512,28688642.158165537,28254574.114063676,27930456.952659167,28307966.406144992
235,9,200,225,212.5,RI,raw_depth_profiles.csv,median,5,0,0.12653446649297981,0.12075058456289403,0.12888332521847362,5,0,0,0.12888332521847362,0.12653446649297981,0.12669583389445591,0.12307437584341557,0.12075058456289403
