scan_id,diameter_um,flow_mm_s,region,side,metric,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero
D128_F01_V01,128,1,t15,left,nonzero_pixels,486,0,55,55,60,486,0,0
D128_F01_V01,128,1,t15,left,sum_w2,486,0,33.390550013617684,32.931307005307843,34.389681409085398,486,0,0
D128_F01_V01,128,1,t15,left,z_span_pixels,486,0,5,5,5,486,0,0
D128_F01_V01,128,1,t15,real,neff,486,0,42.354380163338533,41.126334843393487,42.947109586433903,486,0,0
D128_F01_V01,128,1,t15,real,nonzero_pixels,486,0,55,55,60,486,0,0
D128_F01_V01,128,1,t15,real,sum_w2,486,0,33.392165099361378,32.931307099023392,34.389265666192962,486,0,0
D128_F01_V01,128,1,t15,real,z_span_pixels,486,0,5,5,5,486,0,0
D128_F01_V01,128,1,t15,right,neff,486,0,42.416446591457543,41.125775239820513,42.947081544708645,486,0,0
D128_F01_V01,128,1,t15,right,nonzero_pixels,486,0,55,55,60,486,0,0
D128_F01_V01,128,1,t15,right,sum_w2,486,0,33.343303565912223,32.931328601081866,34.3897336052367,486,0,0
D128_F01_V01,128,1,t15,right,z_span_pixels,486,0,5,5,5,486,0,0
