scan_id,diameter_um,flow_mm_s,offset,support,mode,n_common,pair,rho0,n_pairs0,rho0_status,specificity,specificity_status,n_far_defined,peak_lag,peak_rho,zero_lag_rank,peak_rank_status,n_lags_defined,boundary_peak,baseline_common_rho0,rho0_change,baseline_common_specificity,specificity_change
D128_F10_V01,128,10,zp,five_position_common,detrended_51,484,W100,0.32924746996704135,484,ok,0.35468471460270379,ok,42,0,0.32924746996704135,1,ok,101,False,0.32092406318079902,0.0083234067862423267,0.3365668316651132,0.01811788293759059
D128_F10_V01,128,10,zp,five_position_common,detrended_51,484,W500,0.36781632310331813,484,ok,0.41342238486747135,ok,42,0,0.36781632310331813,1,ok,101,False,0.34910448362642715,0.018711839476890979,0.37963812001815261,0.033784264849318735
D128_F10_V01,128,10,zp,five_position_common,detrended_51,484,C100,0.33290771783535256,484,ok,0.36275272776034506,ok,42,0,0.33290771783535256,1,ok,101,False,0.34115335738867858,-0.0082456395533260229,0.36510810054084386,-0.0023553727804987989
D128_F10_V01,128,10,zm,five_position_common,detrended_51,484,W100,0.31267310557562644,484,ok,0.31958924340976924,ok,42,0,0.31267310557562644,1,ok,101,False,0.32092406318079902,-0.0082509576051725819,0.3365668316651132,-0.016977588255343956
D128_F10_V01,128,10,zm,five_position_common,detrended_51,484,W500,0.32755513246772211,484,ok,0.35979497010128508,ok,42,0,0.32755513246772211,1,ok,101,False,0.34910448362642715,-0.021549351158705043,0.37963812001815261,-0.019843149916867531
D128_F10_V01,128,10,zm,five_position_common,detrended_51,484,C100,0.34884570353983418,484,ok,0.37862257363474838,ok,42,0,0.34884570353983418,1,ok,101,False,0.34115335738867858,0.0076923461511556046,0.36510810054084386,0.013514473093904522
D235_F01_V01,235,1,baseline,five_position_common,detrended_51,448,W100,0.24619252799692723,448,ok,0.24527921401177588,ok,42,-2,0.26043004627605237,2,ok,101,False,0.24619252799692723,0,0.24527921401177588,0
D235_F01_V01,235,1,baseline,five_position_common,detrended_51,448,W500,0.33998536204905688,448,ok,0.35083251842211205,ok,42,0,0.33998536204905688,1,ok,101,False,0.33998536204905688,0,0.35083251842211205,0
D235_F01_V01,235,1,baseline,five_position_common,detrended_51,448,C100,0.39241701973925625,448,ok,0.39210583513723413,ok,42,-2,0.39770666104211694,2,ok,101,False,0.39241701973925625,0,0.39210583513723413,0
D235_F01_V01,235,1,xp,five_position_common,detrended_51,448,W100,0.21822065255718714,448,ok,0.20977838346574851,ok,42,-2,0.23621055391404763,2,ok,101,False,0.24619252799692723,-0.027971875439740085,0.24527921401177588,-0.035500830546027373
