flow_mm_s,metric,diameter_from_um,diameter_to_um,value_from,value_to,absolute_difference,percent_difference
3,tail_mean_raw_500um,128,500,39258979.062311128,24466443.900593814,-14792535.161717314,-37.679367917945285
3,ri_tail_100um,128,235,0.47068195903111443,0.28145672588177562,-0.18922523314933881,-40.20235522492802
3,ri_tail_100um,235,285,0.28145672588177562,0.2477741102938914,-0.033682615587884213,-11.967244869476813
3,ri_tail_100um,285,500,0.2477741102938914,0.29252895772164822,0.044754847427756816,18.062761833620112
3,ri_tail_100um,128,500,0.47068195903111443,0.29252895772164822,-0.17815300130946621,-37.849974466025671
3,ri_tail_200um,128,235,0.37336217316576453,0.23376365416959491,-0.13959851899616962,-37.389572117738609
3,ri_tail_200um,235,285,0.23376365416959491,0.20869036593212437,-0.025073288237470542,-10.725913883635622
3,ri_tail_200um,285,500,0.20869036593212437,0.26875364337550722,0.060063277443382856,28.781049462972419
3,ri_tail_200um,128,500,0.37336217316576453,0.26875364337550722,-0.10460852979025731,-28.017977531916024
3,ri_tail_300um,128,235,0.31709357014191797,0.20573670440297795,-0.11135686573894002,-35.117982899842872
3,ri_tail_300um,235,285,0.20573670440297795,0.18637091805780187,-0.019365786345176078,-9.4128981026371328
3,ri_tail_300um,285,500,0.18637091805780187,0.25276167280204309,0.06639075474424122,35.622915547183446
3,ri_tail_300um,128,500,0.31709357014191797,0.25276167280204309,-0.064331897339874877,-20.287985439465892
3,ri_tail_500um,128,235,0.25632875814502504,0.17681734386491266,-0.07951141428011238,-31.019310847332477
3,ri_tail_500um,235,285,0.17681734386491266,0.16206788236239961,-0.01474946150251305,-8.3416372964982131
3,ri_tail_500um,285,500,0.16206788236239961,0.2388457603803037,0.076777878017904089,47.373900922714135
3,ri_tail_500um,128,500,0.25632875814502504,0.2388457603803037,-0.017482997764721342,-6.8205369897785157
5,source_mean_raw,128,235,154204959.81361899,183653097.83202252,29448138.01840353,19.096751527315494
5,source_mean_raw,235,285,183653097.83202252,188761489.6040985,5108391.7720759809,2.7815440264167766
5,source_mean_raw,285,500,188761489.6040985,101919025.47281048,-86842464.131288022,-46.006452011704425
5,source_mean_raw,128,500,154204959.81361899,101919025.47281048,-52285934.340808511,-33.906778617240526
5,tail_mean_raw_100um,128,235,69996569.384510368,50254362.310051113,-19742207.074459255,-28.204535233733946
5,tail_mean_raw_100um,235,285,50254362.310051113,46885103.350249022,-3369258.9598020911,-6.7044109305675601
5,tail_mean_raw_100um,285,500,46885103.350249022,33177872.216637589,-13707231.133611433,-29.235791656922157
5,tail_mean_raw_100um,128,500,69996569.384510368,33177872.216637589,-36818697.167872779,-52.600716708868354
5,tail_mean_raw_200um,128,235,56014685.492230721,42101220.024023369,-13913465.468207352,-24.838960258265057
5,tail_mean_raw_200um,235,285,42101220.024023369,39346864.296426252,-2754355.7275971174,-6.5422230662803953
5,tail_mean_raw_200um,285,500,39346864.296426252,30465672.302169848,-8881191.9942564033,-22.571536901513785
5,tail_mean_raw_200um,128,500,56014685.492230721,30465672.302169848,-25549013.190060873,-45.611276695652499
5,tail_mean_raw_300um,128,235,48104364.41014722,37063096.986265123,-11041267.423882097,-22.952735285601307
5,tail_mean_raw_300um,235,285,37063096.986265123,35010011.128183343,-2053085.8580817804,-5.5394341677453856
5,tail_mean_raw_300um,285,500,35010011.128183343,28721518.639593877,-6288492.4885894656,-17.961983689651497
5,tail_mean_raw_300um,128,500,48104364.41014722,28721518.639593877,-19382845.770553343,-40.293320592059814
5,tail_mean_raw_500um,128,235,39176211.170652874,31795299.089069732,-7380912.0815831423,-18.840290730085268
