scan_id,flow_mm_s,target_r_um,n_frames,selected_r_um_median,max_abs_sampling_error_um,ri_r_observed_q1,ri_r_observed_median,ri_r_observed_q3,ri_r_corrected_q1,ri_r_corrected_median,ri_r_corrected_q3,V_observed_median,B_frozen_median
flow05,5,120,491,123.25000000000001,3.2500000000000142,0.23330570608950874,0.29638959924905273,0.3804771772335504,0.071906941356559589,0.16031778469613275,0.25953438787889493,45407945.576948099,24411284.149928793
flow05,5,130,491,129.95000000000002,0.049999999999982947,0.2236759277117728,0.28869572796081799,0.37740014713889491,0.070277638835526901,0.14678368071961465,0.24909824960362736,44357745.824529149,24720079.509707265
flow05,5,140,491,136.65000000000001,3.3499999999999943,0.21460722507685034,0.28140560484874139,0.36653834171152277,0.064290659304132858,0.1433296205476067,0.24331240089885769,42893706.858457625,24120955.682957429
flow05,5,150,491,150.05000000000001,0.050000000000011369,0.20592671392123568,0.26909667881751642,0.35250976932188571,0.058116443773572959,0.12778310803743353,0.22057898388477792,40908353.189742357,24181140.731371146
flow05,5,160,491,156.75000000000003,3.2499999999999716,0.20172131929688392,0.25966151463983278,0.32991908382966451,0.035574999749042276,0.10649474306068533,0.18995740363577207,39341036.726088442,24612440.143632494
flow05,5,170,491,170.15000000000001,0.15000000000000568,0.19107150190197802,0.24650711015786705,0.32021181042440483,0.045158182186580548,0.10899601492674366,0.18439000010415862,38246334.507117942,23180543.997561049
flow05,5,180,491,176.85000000000002,3.1499999999999773,0.1790332444256543,0.2367320745463235,0.29977003514624417,0.021937954008897788,0.090241687060106782,0.1635359803465295,35544413.77493272,24585569.403167091
flow05,5,190,491,190.25000000000003,0.25000000000002842,0.17924548032618154,0.23555067314223543,0.29630545577882927,0.023209695547983751,0.081828889378074643,0.15464259417132964,35561040.433465295,23919177.868685819
flow05,5,200,491,196.95000000000002,3.0499999999999829,0.17623621128810102,0.22130744986632006,0.28037567979530265,0.0095923090562359172,0.070580822174112559,0.14969570475108773,34020368.83253932,24104132.124514766
flow05,5,210,491,210.35000000000002,0.35000000000002274,0.17872601416919748,0.22300570515034338,0.27749737503791216,0.0074480696206939831,0.076855868114125564,0.14811658515299436,34262400.37506979,24035813.703123078
flow05,5,220,491,217.05000000000001,2.9499999999999886,0.16462107977208462,0.21286078558325972,0.26611684194195218,0.004245212284815697,0.060131938323927506,0.12680415298995085,32064231.780826297,23828704.968169548
flow05,5,230,491,230.45000000000002,0.45000000000001705,0.16547394704884227,0.21071071952176484,0.26453108126873925,0.0012021341230066382,0.061705808537100913,0.13692080717939786,31987928.112982791,23617924.338601984
flow05,5,240,491,237.15000000000001,2.8499999999999943,0.16652617089401242,0.19954973144601837,0.2611884937040756,-0.0025931384348388594,0.057627628606201596,0.11686432463986404,30779011.077243891,23563471.524840117
flow05,5,250,491,250.55000000000001,0.55000000000001137,0.1522958766606661,0.19171601793282633,0.25346708566564413,-0.021019384559170705,0.046854945832481822,0.11820108923711153,30440034.776777428,23264516.243367866
flow05,5,260,491,257.25,2.75,0.15799238088358,0.19802919463497626,0.25013164593393744,-0.0061943639754762974,0.050540260209972369,0.11053178267926983,30500053.779893506,23460560.978370294
flow05,5,270,491,270.65000000000003,0.65000000000003411,0.14931418859403811,0.18993588843624334,0.24349348863991663,-0.012193002437626568,0.044461755573614065,0.10457074118857591,29571915.741422266,22966849.400545143
flow05,5,280,491,277.35000000000002,2.6499999999999773,0.1448258140537243,0.18740361881911785,0.23581394413211909,-0.01390967229314987,0.040038845161903293,0.099838822885135681,28176860.684523191,22935684.201530784
flow05,5,290,491,290.75,0.75,0.140895301001107,0.18674755774122009,0.23078673243541648,-0.010406062978510213,0.040945551584104241,0.09088276603931561,28102774.968636669,22788828.804423504
