pair,support,algorithm,flow_mm_s,metric,from_diameter_um,to_diameter_um,percent_change,reason
SV-B_vs_OMAG-B,common,OMAG-B,3,raw_AUC_200,235,285,-4.018157669458836,ok
SV-B_vs_OMAG-B,common,SV-B,3,raw_AUC_200,128,285,-74.74928643362807,ok
SV-B_vs_OMAG-B,common,OMAG-B,3,raw_AUC_200,128,285,-42.70272646649067,ok
SV-B_vs_OMAG-B,native,SV-B,3,vessel_core_P95,128,235,2.7108837308797806,ok
SV-B_vs_OMAG-B,native,OMAG-B,3,vessel_core_P95,128,235,20.85567865512377,ok
SV-B_vs_OMAG-B,native,SV-B,3,vessel_core_P95,235,285,9.186465474963537,ok
SV-B_vs_OMAG-B,native,OMAG-B,3,vessel_core_P95,235,285,9.761713900816432,ok
SV-B_vs_OMAG-B,native,SV-B,3,vessel_core_P95,128,285,12.146383603846992,ok
SV-B_vs_OMAG-B,native,OMAG-B,3,vessel_core_P95,128,285,32.653264238327026,ok
SV-B_vs_OMAG-B,common,SV-B,3,vessel_core_P95,128,235,2.7108837308797806,ok
SV-B_vs_OMAG-B,common,OMAG-B,3,vessel_core_P95,128,235,20.708299460677484,ok
SV-B_vs_OMAG-B,common,SV-B,3,vessel_core_P95,235,285,9.186465474963537,ok
SV-B_vs_OMAG-B,common,OMAG-B,3,vessel_core_P95,235,285,9.761713900816432,ok
SV-B_vs_OMAG-B,common,SV-B,3,vessel_core_P95,128,285,12.146383603846992,ok
SV-B_vs_OMAG-B,common,OMAG-B,3,vessel_core_P95,128,285,32.49149830856956,ok
SV-B_vs_OMAG-B,native,SV-B,5,normalized_AUC_um,128,235,-72.54429094113486,ok
SV-B_vs_OMAG-B,native,OMAG-B,5,normalized_AUC_um,128,235,-48.888299896025465,ok
SV-B_vs_OMAG-B,native,SV-B,5,normalized_AUC_um,235,285,-23.152367012238127,ok
SV-B_vs_OMAG-B,native,OMAG-B,5,normalized_AUC_um,235,285,-11.154160326459683,ok
SV-B_vs_OMAG-B,native,SV-B,5,normalized_AUC_um,128,285,-78.90093746825563,ok
SV-B_vs_OMAG-B,native,OMAG-B,5,normalized_AUC_um,128,285,-54.589380871202046,ok
SV-B_vs_OMAG-B,common,SV-B,5,normalized_AUC_um,128,235,-72.54429094113486,ok
SV-B_vs_OMAG-B,common,OMAG-B,5,normalized_AUC_um,128,235,-48.888299896025465,ok
SV-B_vs_OMAG-B,common,SV-B,5,normalized_AUC_um,235,285,-23.152367012238127,ok
SV-B_vs_OMAG-B,common,OMAG-B,5,normalized_AUC_um,235,285,-11.154160326459683,ok
SV-B_vs_OMAG-B,common,SV-B,5,normalized_AUC_um,128,285,-78.90093746825563,ok
SV-B_vs_OMAG-B,common,OMAG-B,5,normalized_AUC_um,128,285,-54.589380871202046,ok
SV-B_vs_OMAG-B,native,SV-B,5,raw_AUC_200,128,235,-68.84452027335566,ok
SV-B_vs_OMAG-B,native,OMAG-B,5,raw_AUC_200,128,235,-38.99373914648416,ok
SV-B_vs_OMAG-B,native,SV-B,5,raw_AUC_200,235,285,-18.05289881841483,ok
SV-B_vs_OMAG-B,native,OMAG-B,5,raw_AUC_200,235,285,-2.7551494809147066,ok
SV-B_vs_OMAG-B,native,SV-B,5,raw_AUC_200,128,285,-74.4689875047985,ok
SV-B_vs_OMAG-B,native,OMAG-B,5,raw_AUC_200,128,285,-40.674552825715274,ok
SV-B_vs_OMAG-B,common,SV-B,5,raw_AUC_200,128,235,-68.84452027335566,ok
SV-B_vs_OMAG-B,common,OMAG-B,5,raw_AUC_200,128,235,-38.99373914648416,ok
SV-B_vs_OMAG-B,common,SV-B,5,raw_AUC_200,235,285,-18.05289881841483,ok
SV-B_vs_OMAG-B,common,OMAG-B,5,raw_AUC_200,235,285,-2.7551494809147066,ok
