scan_id,diameter_um,flow_mm_s,grid_scope,region,metric,n,median,min,max,p5,p10,p90,p95,p99,mad
D500_F03_V01,500,3,common_grid,tail100,real_mean,490,14190.677053857125,10448.150211828624,16922.063914578725,13290.575295475754,13447.895123118486,15003.493298904426,15233.812571611912,15859.924446556643,466.7782873498245
D500_F03_V01,500,3,common_grid,tail100,bg_mean,490,20926.745530840788,18798.351467090757,25543.487999564339,19431.731594307126,19680.416139906625,22813.816894266703,23158.855445423091,23995.788668116722,736.43755838051402
D500_F03_V01,500,3,common_grid,tail100,bg_sd,490,12134.459422990934,9587.7298126638925,24149.947855583283,10401.329428664165,10644.067501233772,14524.433873727259,15251.178822304726,17525.830912896286,1024.6873313547721
D500_F05_V01,500,5,common_grid,source,sbr,471,0.44514293822351064,0.35974822032582265,0.55503054260542983,0.39448949183495419,0.40469823337372396,0.48608924138874549,0.50273774420408879,0.53427511919440063,0.020493586202555092
D500_F05_V01,500,5,common_grid,source,contrast,471,-0.38394614615670164,-0.47086053881413448,-0.2861483714969551,-0.43421687737164727,-0.42379334755516446,-0.34581419762584825,-0.33090428001485395,-0.30354983566696625,0.019541131967554581
D500_F05_V01,500,5,common_grid,source,real_mean,471,28775.422009498558,23560.106217502915,36242.276657314054,25284.667484416223,26137.976215467537,32059.388545087888,32882.737869511882,35444.314503025598,1533.2427224934836
D500_F05_V01,500,5,common_grid,source,bg_mean,471,64652.25117666326,54716.8586095793,73496.063519038711,59840.534349997106,60635.971947828504,70523.496899026446,71333.110762095021,73204.399164381015,2905.2557565657116
D500_F05_V01,500,5,common_grid,source,bg_sd,471,63610.4000639511,48694.081549487921,87164.157519392073,54101.106562218469,55987.686006224867,74615.2362832332,77262.23506150629,84120.831302901031,5098.01409633187
D500_F05_V01,500,5,common_grid,tail100,sbr,471,0.69073914472544451,0.58225654488315193,0.83224597495834152,0.62883247034217393,0.64288518167155007,0.74126807693662988,0.75514942543373764,0.800432958684556,0.024900316304698022
D500_F05_V01,500,5,common_grid,tail100,contrast,471,-0.1829145887107119,-0.26401752387612842,-0.091556498054510702,-0.22787338155153058,-0.21737052735791565,-0.14858821940763475,-0.13950413683455651,-0.11084478538293588,0.017599629504204461
