scan_id,diameter_um,flow_mm_s,grid_scope,region,side,n,median,min,max,p5,p10,p90,p95,p99,mad
D285_F01_V01,285,1,common_grid,t16,bg,453,272.78002317135389,189.85440124812843,322.55606245812044,239.44944663270323,246.70891292383536,298.42628009707892,305.71291743539598,315.68831048354247,15.271572286122023
D285_F01_V01,285,1,common_grid,t17,real,453,127.82895796045624,88.968722832424845,151.15478350827931,112.20973182496859,116.1287384861031,140.06988885800718,143.26182400193289,147.67207013394221,7.1564960991532729
D285_F01_V01,285,1,common_grid,t17,left,453,127.82895796045624,88.968722832424845,151.15478350827931,112.20973182496859,115.61163054378183,139.84719250816053,143.26182400193289,147.93644820558845,7.1564960991532729
D285_F01_V01,285,1,common_grid,t17,right,453,127.82895796045617,88.968722832424845,151.15478350827908,112.20973182496861,115.61163054378183,139.84719250816067,143.26182400193281,147.93644820558845,7.1564960991535145
D285_F01_V01,285,1,common_grid,t17,bg,453,255.65791592091244,177.93744566484963,302.30956701655839,224.41946364993711,231.22326108756366,279.69438501632118,286.52364800386562,295.8728964111769,14.312992198306688
D285_F01_V01,285,1,common_grid,t18,real,453,128.83985023004169,89.672302018089582,152.35014021459506,113.09710470419678,117.04710350984546,141.17758440764979,144.39476189582598,148.8398849742874,7.2130908387129296
D285_F01_V01,285,1,common_grid,t18,left,453,128.83985023004169,89.672302018089582,152.35014021459506,113.09710470419678,116.5259061934905,140.95312693870997,144.39476189582598,149.10635379088797,7.2130908387129296
D285_F01_V01,285,1,common_grid,t18,right,453,128.83985023004166,89.672302018089582,152.3501402145948,113.09710470419681,116.5259061934905,140.95312693871011,144.39476189582589,149.10635379088797,7.2130908387130717
D285_F01_V01,285,1,common_grid,t18,bg,453,257.67970046008338,179.34460403617911,304.70028042918989,226.19420940839362,233.05181238698097,281.90625387742017,288.78952379165185,298.21270758177604,14.42618167742603
D285_F01_V01,285,1,common_grid,t19,real,453,137.35442287238774,95.598429129974306,162.41842524917598,120.57129465337422,124.78233499010061,150.50751451672403,153.93730395203829,158.67618958368615,7.6897786477440491
