scan_id,diameter_um,flow_mm_s,grid_scope,parameter,unit,n_adjacent_pairs,outlier_flag_fraction,n,median,min,max,p5,p10,p90,p95,p99,mad
D500_F03_V01,500,3,common_grid,z_top,um,488,0.065573770491803282,488,0,0,6.7000000000000002,0,0,0,6.7000000000000002,6.7000000000000002,0
D500_F05_V01,500,5,common_grid,X4,pixel,470,0,470,0.74376644705094463,0,3.0125473654538268,0.021102480584738716,0.073893151144858407,1.8056625519314142,2.161165655835986,2.8021054881544241,0.49590049514617363
D500_F05_V01,500,5,common_grid,X4,um,470,0,470,9.4458338775469972,0,38.259351541263598,0.26800150342618168,0.93844301953970177,22.931914409528961,27.44680382911702,35.586739699561186,6.2979362883564045
D500_F05_V01,500,5,common_grid,X1,pixel,470,0.010638297872340425,470,2,0,11,0,0,5,7,9.3100000000000023,1
D500_F05_V01,500,5,common_grid,X1,um,470,0.010638297872340425,470,25.399999999999999,0,139.69999999999999,0,0,63.5,88.899999999999991,118.23700000000002,12.699999999999999
D500_F05_V01,500,5,common_grid,z_top,pixel,470,0.061702127659574467,470,0,0,1,0,0,0,1,1,0
D500_F05_V01,500,5,common_grid,z_top,um,470,0.061702127659574467,470,0,0,6.7000000000000002,0,0,0,6.7000000000000002,6.7000000000000002,0
D500_F07_V01,500,7,common_grid,X4,pixel,475,0,475,0.86322228532520739,0,3.1659574057899249,0.0017342072082954089,0.062970688384507464,2.0185433284901366,2.2902382488790844,2.9366586851866905,0.56411416776597889
D500_F07_V01,500,7,common_grid,X4,um,475,0,475,10.962923023630132,0,40.207659053532041,0.022024431545351691,0.79972774248324474,25.635500271824732,29.086025760764372,37.295565301870965,7.1642499306279319
D500_F07_V01,500,7,common_grid,X1,pixel,475,0.0063157894736842104,475,2,0,11,0,0,6,7,8.2599999999999909,1
D500_F07_V01,500,7,common_grid,X1,um,475,0.0063157894736842104,475,25.399999999999999,0,139.69999999999999,0,0,76.199999999999989,88.899999999999991,104.90199999999987,12.699999999999999
D500_F07_V01,500,7,common_grid,z_top,pixel,475,0.065263157894736842,475,0,0,1,0,0,0,1,1,0
D500_F07_V01,500,7,common_grid,z_top,um,475,0.065263157894736842,475,0,0,6.7000000000000002,0,0,0,6.7000000000000002,6.7000000000000002,0
D500_F09_V01,500,9,d500_extension,X4,pixel,481,0,481,0.64734456955000041,0,3.7128972794782271,0.01990915465097487,0.10695261654876731,1.8944952404025912,2.2172380374939848,3.1039071584990436,0.43857141836804203
