source_bin,tail_bin,u_lo,u_hi,u_mid,tail_lo_um,tail_hi_um,tail_mid_um,eta_lo,eta_hi,eta_mid,scan_id,diameter_um,flow_mm_s,grid_scope,coordinate,source_bins,mode,metric,rho_lag0,rho_peak,lag_at_peak,n_pairs_lag0,n_pairs_at_peak,zero_lag_rank,peak_within_pm2,peak_within_pm5,rho_remote_median,zero_lag_specificity,peak_tie_count,rho,side
4,8,0.5,0.66666666666666663,0.58333333333333337,175,200,187.5,1.3671875,1.5625,1.46484375,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.12393175862484415,0.19852370029748664,10,486,468,6,False,False,0.026668313926242387,0.097263444698601764,1,0.12393175862484415,left
4,9,0.5,0.66666666666666663,0.58333333333333337,200,225,212.5,1.5625,1.7578125,1.66015625,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.13816251951267514,0.15884126740462326,-50,486,429,4,False,False,0.033259672857833544,0.10490284665484159,1,0.13816251951267514,left
4,10,0.5,0.66666666666666663,0.58333333333333337,225,250,237.5,1.7578125,1.953125,1.85546875,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.081509184057219963,0.16246279787093071,-15,486,463,44,False,False,0.053829755042854949,0.027679429014365015,1,0.081509184057219963,left
4,11,0.5,0.66666666666666663,0.58333333333333337,250,275,262.5,1.953125,2.1484375,2.05078125,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.081944480379389367,0.20575054932177245,10,486,468,55,False,False,0.066650443508830121,0.015294036870559247,1,0.081944480379389367,left
4,12,0.5,0.66666666666666663,0.58333333333333337,275,300,287.5,2.1484375,2.34375,2.24609375,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.025644378899104845,0.17595275003433869,-27,486,451,83,False,False,0.039664765904378931,-0.014020387005274085,1,0.025644378899104845,left
4,13,0.5,0.66666666666666663,0.58333333333333337,300,325,312.5,2.34375,2.5390625,2.44140625,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.11497546361959247,0.16841502423331595,-2,486,474,9,True,True,0.035947614914421264,0.079027848705171211,1,0.11497546361959247,left
4,14,0.5,0.66666666666666663,0.58333333333333337,325,350,337.5,2.5390625,2.734375,2.63671875,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,-0.0032504529763151234,0.17931933470910355,-12,486,466,95,False,False,0.045565752929641518,-0.048816205905956644,1,-0.0032504529763151234,left
4,15,0.5,0.66666666666666663,0.58333333333333337,350,375,362.5,2.734375,2.9296875,2.83203125,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.042512215921192975,0.14845049528267135,8,486,470,71,False,False,0.059911046190298772,-0.017398830269105797,1,0.042512215921192975,left
4,16,0.5,0.66666666666666663,0.58333333333333337,375,400,387.5,2.9296875,3.125,3.02734375,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.073316016610046247,0.16933140620091489,-39,486,440,25,False,False,0.046585575761942638,0.026730440848103609,1,0.073316016610046247,left
4,17,0.5,0.66666666666666663,0.58333333333333337,400,425,412.5,3.125,3.3203125,3.22265625,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.19833450023900004,0.19833450023900004,0,486,486,1,True,True,0.066056973447193218,0.13227752679180682,1,0.19833450023900004,left
